UAV1X	UAV1Y	UAV1Z	UAV1situation	UAV1_t	UAV2X	UAV2Y	UAV2Z	UAV2situation	UAV2_t	UAV3X	UAV3Y	UAV3Z	UAV3situation	UAV3_t	
4.99664	28.9012	4.99975	4	8.51348	60.5717	30.5454	18.2931	5	8.51353	50	24.1669	4.92619	4	8.51354	
4.99791	28.0012	4.99978	4	8.54881	60.6966	30.6648	18.3667	5	8.54885	50	24.8081	4.8095	6	8.54887	
4.99861	27.2512	4.99981	4	8.58617	60.8812	30.8392	18.4782	5	8.58619	50	25.4339	4.6855	6	8.5862	
4.99907	26.5012	4.99983	4	8.62212	61.0702	31.0138	18.5889	5	8.62215	50	26.1596	4.52589	6	8.62215	
4.99942	25.6012	4.99985	4	8.6352	61.1957	31.1277	18.6631	5	8.63522	50	26.7383	4.38281	6	8.63523	
4.99961	24.8512	4.99987	4	8.6576	61.3884	31.2987	18.7738	5	8.65765	50	27.2875	4.22963	6	8.65767	
4.99974	24.1012	4.99988	4	8.68749	61.581	31.4657	18.885	5	8.68754	50	27.8982	4.03141	6	8.68756	
4.99984	23.2012	4.9999	4	8.71933	61.7126	31.5769	18.9587	5	8.71939	50	28.3579	3.85372	6	8.71941	
4.99989	22.4512	4.99991	4	8.75445	61.909	31.7391	19.07	5	8.75449	50	28.7646	3.66476	6	8.7545	
4.99993	21.7012	4.99992	4	8.78434	61.2065	31.3988	19.0345	5	8.78437	50	29.1734	3.42436	6	8.78438	
4.99995	20.8012	4.99993	4	8.81338	59.9208	30.7393	18.9137	7	8.81343	50	29.4435	3.21455	6	8.81345	
4.99997	20.0512	4.99994	4	8.84431	58.3799	29.9488	18.7666	7	8.84436	50	29.6502	2.99833	6	8.84437	
4.99998	19.3012	4.99994	4	8.87474	57.0974	29.2908	18.6421	7	8.87477	50	29.8219	2.73337	6	8.87478	
4.99999	18.5512	4.99995	4	8.90576	55.8165	28.6337	18.5157	7	8.90581	50	29.9115	2.51002	6	8.90583	
4.99999	17.6512	4.99996	4	8.93661	54.2815	27.8463	18.3616	7	8.93666	50	29.9637	2.28558	6	8.93667	
4.99999	16.9012	4.99996	4	8.96829	53.0043	27.1911	18.231	7	8.96834	50	29.9922	2.01573	6	8.96836	
5	16.1512	4.99997	4	9.00399	51.729	26.5368	18.0984	7	9.00404	50	29.9992	1.79074	6	9.00405	
5	15.2512	4.99997	4	9.0402	50.2011	25.7531	17.9365	7	9.04026	50	30	1.61074	6	9.04027	
5	14.5012	4.99997	4	9.07912	48.9301	25.1011	17.7991	7	9.07917	50	29.4655	1.76853	4	9.07918	
5	13.7512	4.99998	4	9.11501	47.6614	24.4502	17.6595	7	9.11505	50	28.8667	1.97001	4	9.11507	
5	12.8512	4.99998	4	9.15072	46.1419	23.6707	17.4889	7	9.15076	50	28.4093	2.14829	4	9.15077	
5	12.1012	4.99998	4	9.1839	44.8784	23.0225	17.3439	7	9.18395	50	27.9956	2.3359	4	9.18396	
5	11.3512	4.99998	4	9.22083	43.6175	22.3757	17.1964	7	9.22088	50	27.5633	2.57261	4	9.22089	
5	10.4512	4.99999	4	9.25494	42.1081	21.6014	17.0159	7	9.25497	50	27.2605	2.77839	4	9.25497	
